phone_id,n_body_weight,n_display_size,n_battery_capacity,n_total_cpu_speed,n_ram,n_main_camera_resolution,n_internal_memory,cluster
312,433,9.6,4800,4.8,1,5,8,2
313,278,7,4100,4.8,1,2,8,1
314,153,4.5,2000,4.8,1,5,4,0
315,165,5.5,3000,4.8,2,13,16,1
316,185,6,4100,14.4,2,13,16,2
317,145,4.5,2000,4.8,1,5,8,0
318,160,5,2000,4.8,1,8,4,0
319,124,5,2500,7.2,2,13,16,1
320,180,5.5,2300,5.2,1,5,4,0
321,115,4.5,2000,4.8,1,8,8,0
322,115,4.5,2000,4.8,1,8,4,0
323,329,8,4800,6.4,1,5,8,2
324,239,7,5000,6.4,2,13,16,2
325,120,4.7,2000,6.4,2,8,16,0
326,202,6.1,4050,6.4,2,13,16,2
327,243,5,3240,17.6,4,13,64,3
328,200,4.5,3100,5.6,2,8,16,1
329,187,4.5,3100,5.6,2,8,16,1
330,120,4,2250,5.6,1,2,8,0
331,136,5,2500,6,1,5,16,0
332,147,5.7,3000,5.2,2,13,16,1
333,147,5.7,3000,5.2,3,13,32,1
334,136,5,2500,5.2,3,8,16,1
335,149,5,2500,4.4,1,5,16,0
336,160,5,2350,5.2,2,8,16,1
337,141,4,1500,4.4,1,5,8,0
338,140,4.5,2000,5.2,1,5,8,0
339,163,5.5,3020,12,4,13,32,2
340,159,6.1,3000,8.4,4,16,64,2
341,156,6.1,3000,18.4,4,16,32,3
342,172,6.2,3300,12.8,4,16,64,3
343,171,6.2,3300,12,4,13,64,3
344,145,5.5,3000,12,4,13,64,3
345,140,5,2500,5.6,2,8,16,1
346,168,5.3,2880,5.6,2,13,32,1
347,143,3.2,1700,4.4,1,3,4,0
348,138,4.5,1900,4.8,1,5,8,0
349,155,5,2540,5.2,1,8,8,0
350,139,5.2,2300,12,1.5,8,8,1
351,136,5,2540,4.8,1,8,8,0
352,155,5.5,3000,8.4,3,16,32,2
353,155,5.5,3000,8.4,3,16,32,2
354,165,5.7,3000,4.8,1,8,8,1
355,163,5.7,3000,4.8,1,13,8,1
356,135,5,2610,4.8,1.5,8,16,0
357,137,5,2540,4.8,1,8,8,0
358,124,4.7,2100,4.8,1,8,8,0
359,140,4.5,1900,4.8,1,5,8,0
360,152,5.5,3000,12,2,13,16,2
361,138,4.5,2100,4.8,1,5,4,0
362,153,4.5,1820,4.8,1,8,4,0
363,149,5.5,3000,10,3,13,32,2
364,182,5.9,3000,12,2,13,32,2
365,163,5.5,3000,5.2,1,13,8,1
366,137,5,2540,5.2,1,8,8,0
367,145,4.5,1900,4.8,1,8,4,0
368,167,5.7,3200,4.8,1.5,8,8,1
369,146,5.2,2610,8.8,2,13,32,1
370,294,7,4000,4.8,1,5,16,1
371,168,5.7,3200,4.8,1.5,8,8,1
372,134,5,2540,4.8,1,8,8,0
373,127,4.3,2100,2.4,1,5,4,0
374,149,5.5,3000,10,3,13,32,2
375,149,5.5,3000,10,2,13,16,1
376,136,4.7,3000,4.8,1,8,8,0
377,535,10.1,8000,4.8,1,5,16,2
378,138,5,2540,2.4,1,8,8,0
379,123,4.7,2440,4.8,1,5,8,0
380,339,8.3,4600,6,2,5,16,2
381,121,4.7,2440,6.8,1,13,8,0
382,121,4.7,2440,4.8,1,8,8,0
383,121,4.7,2440,4.8,1,8,8,0
384,125,4.7,2540,4.8,1,5,8,0
385,126,4.7,2540,4.8,1,5,8,0
386,124,4.5,2100,2.4,1,5,4,0
387,126,4.5,2100,2.4,1,5,4,0
388,159,4,2460,2.4,1,5,4,0
389,167,5.5,3140,6.8,2,13,32,1
390,177,6,3500,8.8,2,13,32,2
391,150,5.45,3000,5.2,3,13,32,1
392,150,5.45,3000,5.2,2,13,16,1
393,144,5,2800,5.2,1,8,8,0
394,97,4.8,2000,4.8,2,8,16,0
395,136,4.5,1700,5.2,1,5,8,0
396,143,5,2400,11.2,2,13,16,1
397,134,4.7,2000,5.2,1,8,8,0
398,170,5,3000,5.2,2,8,8,1
399,138,4.5,2000,5.2,1,8,8,0
400,310,8,4400,2.4,1,5,8,1
401,306,7,3200,2.6,1,5,8,1
402,138,4.7,2300,13.6,2,13,16,2
403,163,4.5,1900,5.2,1,5,4,0
404,143,4.5,1950,5.2,1,5,8,0
405,123,4.7,2000,11.2,1,8,8,1
406,136,4.5,1700,5.2,1,5,4,0
407,129,4,1500,4.8,1,5,8,0
408,146,5.5,2350,5.2,1,8,8,0
409,138,5,2000,9,1,8,8,1
410,159,5,2000,4.8,1,8,4,0
411,168,5,2000,5.2,1,8,4,0
412,202,6,2500,2.6,1,5,8,0
413,154,5,2350,13.6,2,16,32,2
414,122,5,2000,5.2,1,8,16,0
415,165,5.7,3340,12,3,20,32,2
416,165,5.7,3340,12,3,20,32,2
417,150,5.2,3000,8.4,3,20,32,2
418,150,5.2,3000,8.4,3,20,32,2
419,141,4.7,2100,4.4,1,5,8,0
420,152,5,2200,4.8,1,8,8,0
421,127,4,1500,2.4,1,2,8,0
422,171,5.7,3000,4.8,1,13,8,1
423,171,5.7,3000,4.8,1,13,8,1
424,171,5.7,3000,4.8,1,13,8,1
425,171,5.7,3000,4.8,1,13,8,1
426,145,5,2500,4.8,1,8,8,0
427,145,5,2500,4.8,1,8,8,0
428,145,5,2500,4.8,1,8,8,0
429,136,4,1560,4.8,1,5,8,0
430,136,4,1560,4.8,1,5,8,0
431,134,4,1560,2.4,1,2,8,0
432,134,4,1560,2.4,1,2,8,0
433,146,5,1905,4.8,1,5,8,0
434,146,5,1905,4.8,1,5,8,0
435,193,6.2,5000,14.4,4,12,64,3
436,149,5.7,3000,14.4,2,13,32,2
437,150,5.2,2800,5.6,2,8,16,1
438,150,5.2,2800,5.6,2,8,16,1
439,174,5.7,4000,5.6,2,13,16,1
440,168,5.5,3000,16,4,13,64,3
441,157,5.2,3000,11.2,3,16,32,2
442,151,5,2800,5.2,2,8,16,1
443,150,5,2800,5.6,2,8,16,1
444,145,5.5,3000,17.6,4,12,64,3
445,154,5,2350,4.4,1,5,8,0
446,163,5.5,3050,15.2,4,16,64,3
447,153,5,3500,4,2,8,16,1
448,165,5.5,3510,16,3,16,32,3
449,140,5,2800,4,1,8,8,0
450,155,5.5,3000,12,4,16,64,3
451,155,5,2470,12,2,13,16,1
452,169,5.5,3630,13.6,2,21,16,2
453,155,5,2470,5.6,1,13,8,0
454,155,5,2470,5.6,1,13,8,0
455,145,4.5,2390,4.8,1,5,8,0
456,145,4.5,2390,4.8,1,5,8,0
457,155,5,2390,4.8,1,8,8,0
458,176,5.2,3900,10.8,3,21,64,2
459,149,5,2070,4.8,1,8,8,0
460,143,4.5,2070,4.8,1,5,8,0
461,125,4.3,2000,3,1,8,8,0
462,142,4.3,1980,2.4,1,5,4,0
463,142,4.3,1980,2.4,1,5,4,0
464,130,4.7,2200,4.8,1,6,8,0
465,134,4.7,2200,4.8,1,6,8,0
466,150,5,2200,4.8,1,10,16,0
467,150,4.3,1800,2.4,1,5,4,0
468,167,5,2420,8.8,2,20,32,1
469,124,4,1430,2,1,5,8,0
470,220,6,3400,3.4,1,5,8,1
471,158,4.5,2000,3,2,41,32,1
472,162,4.5,2000,3,1,8,32,0
473,141,4.3,1800,3,1,8,16,0
474,145,4.3,1800,3,1,8,8,0
475,185,4.5,2000,3,1,8,32,0
476,160,4.3,1650,3,1,8,8,0
477,450,8,4600,4.8,1,5,16,2
478,191,6,2600,6,1,13,4,1
479,146,5,2300,6,1,13,16,0
480,182,5.5,4010,16,4,13,64,3
481,175,5.5,3150,5.6,3,13,32,1
482,180,5.5,5000,16,4,13,64,3
483,184,5,4000,5.2,3,13,16,1
484,162,5.3,4000,12,3,13,32,2
485,210,6,3500,16,3,24,64,3
486,97,4.8,2000,4.8,2,8,16,0
487,138,4.5,1700,5.2,1,5,8,0
488,152,5,2000,5.2,1,5,8,0
489,151,4.7,2120,5.2,1,8,8,0
490,150,5,1950,5.2,1,5,8,0
491,180,5,5000,5.2,1,8,8,1
492,120,5,2400,4.8,2,13,16,1
493,158,5,2000,4.8,1,13,16,0
494,97,4.8,2050,13.6,1,8,16,1
495,119,4.7,2000,6.8,1,8,4,0
496,133,5,2300,13.6,2,13,16,2
497,167,5,2000,5.2,1,8,4,0
498,88,4.5,1800,5.2,1,5,8,0
499,220,5.7,2600,4.8,1,12,16,1
500,175,6.22,4230,16,4,13,64,3
501,155,6,3410,16,6,13,128,3
502,168,6.2,3400,12.8,2,13,32,2
503,400,10.5,7040,16,6,13,128,3
504,460,10.1,6150,14.4,2,8,32,3
505,358,8,5000,5.6,2,5,32,2
506,529,10.5,7300,14.4,3,8,32,3
507,177,6,3300,5.6,1,8,16,1
508,154,5,2600,5.6,1,8,8,0
509,154,5.6,3000,12.8,4,13,64,3
510,152,5,2600,5.6,2,8,16,1
511,150,5.8,3000,17.6,4,16,64,3
512,154,5.6,3000,12.8,4,13,64,3
513,175,5.5,3000,5.6,2,13,16,1
514,159,5.6,3000,12.8,4,16,64,3
515,170,5.5,3300,12.8,3,13,32,2
516,153,5,2600,5.6,1.5,8,16,1
517,191,6,3500,17.6,6,16,64,3
518,130,4.7,2000,5.2,1,5,8,0
519,415,8,4450,12.8,3,8,16,3
520,364,8,5000,5.6,2,8,16,2
521,208,5.8,4000,18.4,4,12,64,3
