phone_id,n_network_technology,n_body_weight,n_display_type,n_display_size,n_micro_sdcard,n_sound_3p5mm,n_bluetooth,n_gps,n_comms_usb,n_usb_conn,n_fingerprint,n_android_ver,n_main_camera_resolution,n_main_camera_af,n_main_camera_ois,n_battery_capacity,n_total_cpu_speed,n_internal_memory,n_ram
80,3,155,2,5,1,1,4,1,2,2,0,5,8,1,0,2500,3.2,16,2
81,4,170,2,5.5,1,1,4,1,2,2,0,5,13,1,0,3000,7.2,16,2
82,4,150,2,4.5,1,1,4,1,2,2,0,4.4,5,1,0,2100,2.4,8,1
83,3,148,2,4.5,1,1,4,1,2,2,0,4.4,5,1,0,2060,3.2,8,1
84,4,134,2,4.5,1,1,4,1,2,2,0,4.4,8,1,0,1750,2.4,8,1
85,3,150,2,5,1,1,4,1,2,2,0,4.4,13,1,0,2300,9.2,16,2
86,3,150,2,5,1,1,4,1,2,2,0,4.4,13,1,0,2300,9.2,16,2
87,3,145,2,5,1,1,4,1,2,2,0,4.3,8,1,0,2110,2.4,8,2
88,4,150,2,4.5,1,1,4,1,2,2,0,4.4,5,1,0,2060,3.2,8,1
89,4,116,2,4,1,1,4,1,2,2,0,4.3,8,1,0,1170,3.2,8,1
90,4,105,2,4.3,1,1,4,1,2,2,0,4.3,8,1,0,1500,5.6,16,1
91,4,128,2,4.5,1,1,4,1,2,2,0,4.4,8,1,0,1840,4.8,4,1
92,4,135,2,5,1,1,4,1,2,2,0,4.4,13,1,0,2520,4.8,16,2
93,4,167,2,5.5,1,1,4.2,1,2,3,1,7.1,12,1,0,4000,16,32,4
94,4,178,2,5.5,1,1,4,1,2,2,0,7,13,1,0,3000,5.6,32,4
95,4,180,2,4.5,1,1,4.2,1,3.1,3,1,7.1,12,1,0,3500,16,64,4
96,4,165,3,5.5,1,1,4.2,1,2,3,1,6,21,1,0,3000,8.4,32,4
97,4,135,2,5.2,1,1,4.2,1,2,2,0,6,13,1,0,2610,12,16,3
98,3,192,3,5.4,1,1,4.1,1,2,2,0,5.1,18,1,1,3410,8.4,32,3
99,4,170,2,5,1,1,4,1,2,2,0,10.3,8,1,0,2800,3,16,2
100,4,140,0,3.1,1,1,4,1,2,2,0,10.3,8,1,0,2100,3,64,2
101,4,196,2,4.5,1,1,4,1,2,2,0,10.3,13,1,1,3450,8.8,32,3
102,4,177,2,3.5,1,1,4,1,2,2,0,10.3,8,1,0,2515,3,16,2
103,4,164,0,5,1,1,4,1,2,2,0,10.2,5,1,0,2500,2.4,8,1.5
104,4,170,3,5,1,1,4,1,2,2,0,10.2,8,1,0,2880,3.4,16,2
105,3,120,2,3.1,1,1,4,1,2,2,0,10.2,5,1,0,2180,2.4,8,2
106,3,137,0,4.2,1,1,4,1,2,2,0,10,8,1,0,1800,3,16,2
107,3,139,3,3.1,1,1,4,1,2,2,0,10,8,1,0,2100,3,16,2
108,3,153,2,5,1,1,4,1,2,2,0,8.1,5,1,0,2000,5.6,8,1
109,3,203,2,5.5,1,1,4.2,1,2,2,0,8.1,8,1,0,2500,5.6,16,1
110,4,145,2,5,1,1,2.1,1,2,2,0,8.1,5,0,0,2000,5.2,8,1
111,4,126,2,5.2,1,1,4,1,2,2,0,8.1,8,1,0,2000,5.2,16,1
112,4,167,2,5.5,1,1,4,1,2,2,0,8.1,8,1,0,2500,5.2,16,1
113,3,154,2,5.34,1,1,4,1,2,2,1,8.1,8,1,0,2500,5.2,16,1
114,4,184,2,5.7,1,1,4,1,2,2,1,7,13,1,0,3000,10.4,32,3
115,4,159,2,5.5,1,1,4,1,2,2,1,7,8,0,0,2850,5.2,8,1
116,4,143,2,5.5,1,1,4,1,2,2,1,8,13,1,0,3000,5.2,32,3
117,3,173,2,6,1,1,4,1,2,2,1,7.1,13,0,0,4000,5.2,16,2
118,4,169,2,6,1,1,4,1,2,2,1,7.1,13,1,0,3000,5.6,32,3
119,3,140,2,5,1,1,4,1,2,2,1,7,8,0,0,2000,5.2,16,2
120,4,160,2,5.5,1,1,4,1,2,2,1,7.1,12,0,0,3000,5.2,16,2
121,4,174,2,5.7,1,1,4,1,2,2,1,7,13,0,0,3000,5.2,16,1
122,3,180,2,5.5,1,1,4,1,2,2,1,7,13,1,0,4010,16,64,4
123,3,152,2,5,1,1,4,1,2,2,1,6,13,1,0,3000,11.2,64,4
124,3,150,2,5,1,1,4,1,2,2,0,5.1,8,1,0,2000,5.2,16,1
125,3,142,3,5.5,1,1,4,1,2,3,0,5.1,13,1,0,3150,10.4,32,3
126,3,207,3,6,1,1,4,1,2,2,1,5.1,24,1,1,3500,16,64,3
127,4,177,2,6,1,1,4,1,2,2,0,5,8,1,0,3000,5.2,8,1
128,4,180,2,5,1,1,4,1,2,2,0,4.4,8,1,0,5000,5.2,8,1
129,3,154,2,5,1,1,4,1,2,2,0,4.4,8,1,0,2100,5.2,8,1
130,3,97,3,4.8,1,1,4,1,2,2,0,4.4,8,1,0,2100,13.6,16,1
131,3,177,2,6,1,1,3,1,2,2,0,4.4,13,1,0,3200,6.4,16,2
132,3,164,2,5,1,1,3,1,2,2,0,4.4,13,1,0,2200,4.8,8,1
133,3,299,0,7,1,1,3,1,2,2,0,4.4,5,1,0,3000,2.6,8,1
134,3,166,2,5,1,1,3,1,2,2,0,4.4,8,1,0,2000,5.2,4,1
135,3,129,3,5,1,1,4,1,2,2,0,4.2,13,1,0,2300,13.6,16,2
136,2,136,2,5,1,1,4,1,2,2,0,4.2,8,0,0,2000,13.6,8,1
137,3,152,2,5.5,1,1,4,1,2,2,0,4.2,16,1,0,2500,8.8,32,3
138,3,155,2,5,1,1,3,1,2,2,0,4.2,8,1,0,2000,5.2,4,1
139,3,166,2,5.5,1,1,3,1,2,2,0,4.2,8,1,0,2350,5.2,4,1
140,3,149,2,4.5,1,1,4,1,2,2,0,4.2,8,1,0,3000,6,16,1
141,3,135,3,4.8,1,1,3,1,2,2,0,4.2,8,1,0,2000,6,16,1
142,3,404,2,8,1,1,4,1,2,2,0,4.2,5,1,0,4500,4.8,8,1
143,3,109,2,4.7,1,1,4,1,2,2,0,4.2,8,1,0,1800,5.2,4,1
144,4,144,2,5,1,1,4,1,2,2,0,4.2,12,1,0,2000,6,4,1
145,4,150,2,5,1,1,2.1,1,2,2,0,5.1,8,1,0,2000,4.8,8,1
146,4,150,2,5,1,1,4,1,2,2,0,4.4,13,1,0,2000,5.2,8,1
147,4,135,2,5.45,1,1,4.2,1,2,2,0,7.1,8,1,0,2670,5.2,16,2
148,4,199,2,6,1,1,4.1,1,2,2,1,7.1,13,1,0,5000,11.2,64,4
149,4,166,2,5.2,1,1,4,1,2,2,1,7,13,1,0,4000,6,16,3
150,4,161,2,5.3,1,1,4.1,1,2,2,1,7,13,1,0,4000,10.4,32,3
151,4,151,2,5.2,1,1,4,1,2,2,1,7.1,13,1,0,3100,5.6,32,4
152,4,182,2,5.5,1,1,4,1,2,2,1,7,13,1,0,4010,16,64,4
153,4,162,2,5.3,1,1,4,1,2,2,0,6,13,1,0,4000,12,32,4
154,4,167,2,5,1,1,4,1,2,2,0,6,8,1,0,2300,5.2,16,2
155,4,183,2,5.5,1,1,4,1,2,2,0,6,13,1,0,3100,17.6,32,3
156,4,166,2,5.5,1,1,4,1,2,3,1,6,13,1,0,3150,10.4,32,3
157,4,170,2,5.5,1,1,4,1,2,3,1,6,13,1,0,3130,14.4,64,4
158,4,153,2,4.5,1,1,4,1,2,2,0,5,5,1,0,1800,5.2,8,1
159,3,207,2,4.2,1,1,4,1,1,3,1,5.1,16,1,0,2530,16,64,4
160,4,147,3,5.5,1,1,4,1,2,2,1,6,16,1,0,3000,15.2,64,4
161,4,200,1,5.5,1,1,4,1,2,2,1,5.1,8,1,0,5000,4,16,3
162,4,208,3,6,1,1,4,1,1,3,1,5.1,13,1,0,5020,10.4,64,3
163,4,183,2,5,1,1,4,1,2,2,0,5.1,8,1,0,4000,5.2,32,3
164,4,153,2,5,1,1,4,1,2,2,0,5.1,5,1,0,2000,5.2,16,1
165,4,147,3,5.5,1,1,4,1,2,3,0,5.1,13,1,0,3150,10.4,32,3
166,3,136,2,5,1,1,2,1,2,2,0,5,8,1,0,2400,5.2,16,2
167,3,210,3,6,1,1,4,1,2,2,1,5.1,24,1,1,3500,16,64,3
168,3,176,3,5,1,1,2,1,2,2,0,5,8,1,0,5000,5.2,16,2
169,3,211,3,5.5,1,1,4,1,2,2,0,5.1,13,1,0,6020,5.2,32,3
170,3,125,3,5.2,1,1,4,1,2,2,0,5,13,1,0,2700,13.6,16,2
171,3,180,2,5,1,1,4,1,2,2,0,4.4,8,1,0,5000,5.2,8,1
172,3,97,3,4.8,1,1,4,1,2,2,0,4.4,8,1,0,2050,13.6,16,1
173,4,150,1,5,1,1,4,1,2,2,0,4.4,5,1,0,1950,5.2,8,1
174,4,133,3,5,1,1,4,1,2,2,0,4.2,13,1,0,2300,13.6,16,2
175,4,160,2,5.5,1,1,4,1,2,3,1,7.1,13,1,0,3000,11.2,32,3
176,4,150,0,6.09,1,1,4.2,1,2,2,1,9,13,1,0,3020,18.4,64,3
177,4,310,2,8,1,1,4.2,1,2,2,0,9,8,1,0,5100,17.6,64,4
178,4,142,0,5.45,1,1,4.2,1,2,2,0,8.1,13,1,0,3020,6,16,2
179,4,145,2,5.2,1,1,4.1,1,2,2,1,7,13,1,0,3000,12,32,3
180,4,143,2,5,1,1,4.1,1,2,2,1,7,13,1,0,3020,12,32,3
181,4,145,3,5.09,1,1,4.2,1,1,3,1,6,12,1,0,2900,18.4,64,4
182,4,170,2,5.7,1,1,4.2,1,1,3,1,6,12,1,0,3500,18.4,32,4
183,4,168,2,5.5,1,1,4,1,2,2,0,6,13,1,0,3100,9.6,16,2
184,4,140,2,5,1,1,4,1,2,2,0,5.1,13,1,0,2200,4,16,2
185,3,156,2,5.2,1,1,4.1,1,2,2,0,6,13,1,0,3000,16,16,2
186,4,160,2,5,1,1,4,1,2,2,0,5.1,13,1,0,4000,5.2,16,2
187,4,158,2,5.5,1,1,4.1,1,2,2,1,5.1,13,1,0,3000,9.6,16,2
188,3,160,2,5.2,1,1,4,1,2,2,1,5.1,13,1,0,3100,13.6,32,3
189,3,162,2,5,1,1,4,1,2,2,0,4.4,13,1,0,2550,9.6,8,2
190,4,165,2,5.5,1,1,4,1,2,2,0,4.4,13,1,0,3000,9.6,8,2
191,4,156,2,5,1,1,4,1,2,2,0,4.4,8,1,0,2000,5.2,16,1
192,3,160,2,5,1,1,4,1,2,2,0,4.4,8,1,0,2000,4.8,8,1
193,3,156,0,5,1,1,4,1,2,2,0,4.2,8,1,0,2000,5.2,16,1
194,4,140,2,5,1,1,4,1,2,2,0,4.4,8,1,0,2300,6.4,8,1
195,3,195,0,5.96,1,1,4,1,3,3,0,10,16,1,0,4150,8.4,64,4
196,4,160,2,6,1,1,3,1,2,2,0,4.4,8,1,0,3000,4.8,16,1
197,4,305,1,6.95,1,1,4,1,2,2,0,4.4,5,0,0,3000,5.2,8,1
198,4,239,2,7,1,1,4,1,2,2,0,4.2,13,1,0,5000,6.4,16,2
199,4,325,2,7,1,1,3,1,2,2,0,4.2,5,1,0,4100,4.8,16,1
200,4,160,2,6,1,1,3,1,2,2,0,4.3,5,1,0,3000,4.8,16,1
201,4,150,2,5.7,1,1,4.2,1,2,2,1,8.1,13,1,0,3075,11.2,64,4
202,4,188,0,6,1,0,5,1,3.1,3,1,8,12,1,1,3930,19.2,128,6
203,4,142,0,5.2,1,0,5,1,2,3,1,8,16,1,0,2600,17.6,64,4
204,4,169,0,5.5,1,0,4.2,1,3.1,3,1,7.1,12,1,1,3000,19.2,128,6
205,4,145,0,5.2,1,0,4.2,1,2,3,1,6,16,1,1,2500,16,64,4
206,4,140,2,5,1,1,4.1,1,2,2,0,6,13,1,0,2200,6.4,16,2
207,4,165,2,5.5,1,1,4.2,1,2,2,1,6,20,1,0,3000,14.4,64,4
208,4,148,2,5,1,1,4.1,1,2,2,0,6,13,1,0,3300,6,32,3
209,4,155,2,5.5,1,1,4.1,1,2,2,0,6,13,1,0,2700,5.6,32,3
210,4,149,0,5,1,1,4.2,1,2,2,1,6,13,1,0,2300,14.4,32,3
211,4,153,0,5.5,1,1,4.1,1,2,2,0,5.1,13,1,0,2800,12,32,3
212,4,142,2,5,1,1,4.1,1,2,2,0,5.1,13,1,0,2200,10.4,32,3
213,4,158,0,5,1,1,4.1,1,2,2,0,5,13,1,1,2840,17.6,16,2
214,4,156,0,5.5,1,1,4.1,1,2,2,0,6,13,1,1,2800,12,32,3
215,4,158,0,5,1,1,4.1,1,2,2,0,6,13,1,1,2840,16,16,2
216,4,161,0,5.2,1,1,4.2,1,2,3,1,6,12,1,1,3000,14.4,32,3
217,4,155,0,5.5,1,1,4.1,1,2,2,0,6,13,1,0,2700,6.4,16,2
218,4,140,0,5,1,1,4.1,1,2,2,0,6,13,1,0,2200,6.4,16,2
219,4,140,0,5,1,1,4.1,1,2,2,0,6,8,1,0,2200,4.4,16,1.5
220,4,140,0,5,1,1,4,1,2,2,0,5.1,5,1,0,2000,4.4,8,1.5
221,4,170,0,5.5,1,1,4.2,1,2,2,0,6,13,1,1,3000,17.6,32,3
222,4,158,0,5,1,1,4.1,1,2,2,0,5.1,13,1,1,2840,17.6,16,2
223,4,153,0,5.5,1,1,4.1,1,2,2,0,5.1,13,1,0,2800,10.4,16,2
224,4,165,0,5.5,1,1,4.1,1,2,2,0,5,13,1,0,2600,12,16,2
225,4,161,0,5.2,1,1,4.1,1,2,2,0,5,20,1,0,2700,12,32,3
226,3,143,3,5,1,1,4.1,1,2,2,1,6,13,1,1,2150,12,16,2
227,3,168,0,5.2,1,1,4.1,1,2,2,1,5.2,21,1,1,2840,17.6,32,3
228,4,138,0,5,1,1,4.1,1,2,2,0,5.1,8,1,0,2000,4.4,8,1
